Unidade da Federação,Populacao Estimada 2019,Notificacoes,Notificacao / 100K hab
Paraná,11433957,12182,106.5422933
Espírito Santo,4018650,3998,99.48614584
Distrito Federal,3015268,2745,91.03668397
Santa Catarina,7164788,6103,85.1804687
Minas Gerais,21168791,14036,66.30515649
Pernambuco,9557071,6335,66.28599913
Roraima,605761,384,63.39133751
Tocantins,1572866,991,63.00600305
Mato Grosso do Sul,2778986,1668,60.02189288
Alagoas,3337357,1969,58.99878257
São Paulo,45919049,23380,50.91568861
Paraíba,4018127,1693,42.13405898
Rio Grande do Sul,11377239,4681,41.14354985
Goiás,7018354,2873,40.9355242
Piauí,3273227,1117,34.1253448
Rio Grande do Norte,3506853,1139,32.47926275
Acre,881935,239,27.0995028
Ceará,9132078,2308,25.27354672
Rondônia,1777225,424,23.85741817
Rio de Janeiro,17264943,3697,21.41333452
Mato Grosso,3484466,653,18.74031774
Sergipe,2298696,337,14.66048577
Bahia,14873064,2143,14.40859799
Maranhão,7075181,557,7.872590115
Amazonas,4144597,225,5.428754593
Amapá,845731,44,5.202599881
Pará,8602865,272,3.161737398